Question,Answer
What is trigonometry?,Trigonometry is the study of triangles and the relationships between their angles and sides.
What is evolution?,Evolution is the gradual change in species over long periods of time.
What is democracy in India?,India is the world's largest democracy where people elect their government through voting.
What is rhyme?,Rhyme is when words have similar ending sounds.
What is force?,Force is a push or pull that can change an object's motion or shape.
What is the equator?,The equator is an imaginary line that divides the Earth into northern and southern hemispheres.
What is a prime number?,A prime number is a number greater than 1 that has only two factors: 1 and itself.
What is immunity?,Immunity is the body's ability to resist and fight diseases and infections.
What is independence?,Independence means freedom from outside control or rule.
What is personification?,Personification is giving human qualities to non-human things.
What is energy?,Energy is the ability to do work or cause change.
What is a volcano?,A volcano is an opening in Earth's crust where molten rock can escape.
What is calculus?,Calculus is advanced mathematics dealing with rates of change and areas under curves.
What is photosynthesis importance?,Photosynthesis is important because it produces oxygen and food for all living organisms.
What is a food chain?,A food chain shows how energy flows from one organism to another through eating.
What is onomatopoeia?,Onomatopoeia is words that imitate sounds they represent.
What is motion?,Motion is the change in position of an object over time.
What is latitude?,Latitude lines run east-west and measure distance north or south of the equator.
What is an even number?,An even number is any integer that can be divided by 2 without a remainder.
What is adaptation?,Adaptation is how organisms change to survive better in their environment.
What is the Preamble?,The Preamble is the introduction to a constitution that states its basic principles.
What is hyperbole?,Hyperbole is an exaggerated statement not meant to be taken literally.
What is mass?,Mass is the amount of matter in an object.
What is longitude?,Longitude lines run north-south and measure distance east or west of the Prime Meridian.
What is an odd number?,An odd number is any integer that cannot be divided evenly by 2.
What is habitat?,A habitat is the natural environment where an organism lives and finds its needs.
What is citizenship?,Citizenship is being a legal member of a country with rights and responsibilities.
What is irony?,Irony is when the actual result is opposite to what was expected.
What is weight?,Weight is the force of gravity acting on an object's mass.
What is a peninsula?,A peninsula is a piece of land surrounded by water on three sides.
What is a composite number?,A composite number is a number that has more than two factors.
What is biodiversity?,Biodiversity is the variety of life forms in an ecosystem or on Earth.
What is freedom of speech?,Freedom of speech is the right to express opinions without government interference.
What is a synonym?,A synonym is a word that has the same or similar meaning as another word.
What is pressure?,Pressure is the force applied over a certain area.
What is an island?,An island is a piece of land completely surrounded by water.
What is the LCM?,LCM stands for Least Common Multiple - the smallest number divisible by two or more numbers.
What is extinction?,Extinction is when a species completely disappears from Earth.
What is the right to vote?,The right to vote is a fundamental democratic right allowing citizens to choose their representatives.
What is an antonym?,An antonym is a word that has the opposite meaning of another word.
What is acceleration?,Acceleration is the rate of change of velocity over time.
What is a desert?,A desert is a dry region with very little rainfall and sparse vegetation.
What is the GCD?,GCD stands for Greatest Common Divisor - the largest number that divides two or more numbers.
What is a food web?,A food web shows the complex feeding relationships in an ecosystem.
What is equality?,Equality means all people have the same rights and opportunities regardless of differences.
What is a homophone?,A homophone is a word that sounds the same as another word but has different meaning.
What is velocity?,Velocity is speed in a specific direction.
What is the Arctic?,The Arctic is the northernmost region of Earth characterized by ice and cold temperatures.
What is a perfect square?,A perfect square is a number that is the square of an integer.
What is symbiosis?,Symbiosis is a close relationship between two different species living together.
What is justice?,Justice is fairness in treatment and punishment according to law and moral principles.
What is a palindrome?,A palindrome is a word that reads the same forwards and backwards.
What is momentum?,Momentum is the quantity of motion an object has based on its mass and velocity.
What is the Antarctic?,The Antarctic is the southernmost continent covered by ice sheets.
What is square root?,Square root is a number that when multiplied by itself gives the original number.
What is camouflage?,Camouflage is how animals blend with their surroundings to hide from predators or prey.
What is a fundamental right?,A fundamental right is a basic human right guaranteed by the constitution.
What is allusion?,Allusion is an indirect reference to another work of literature or historical event.
What is inertia?,Inertia is an object's tendency to resist changes in its state of motion.
What is a glacier?,A glacier is a large mass of ice that moves slowly over land.
What is cube root?,Cube root is a number that when multiplied by itself three times gives the original number.
What is hibernation?,Hibernation is when animals sleep through winter to conserve energy.
What is separation of powers?,Separation of powers divides government into legislative executive and judicial branches.
